序号,标题,接口名称,测试URL,IMEI/UUID,"platform
55,名片-更新-LBS位置状态2-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""lbsStatus"" : 2 }",yes,"""result"":""success"""
56,名片-更新-位置明细-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""lbsStatus"" : 2, ""locationDetail"" : ""Beijing"" }",yes,"""result"":""success"""
57,名片-更新-位置坐标-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""lbsStatus"" : 2, ""locationDetail"" : ""Beijing"", ""locationCoordinate"" : ""123456.7"" }",yes,"""result"":""success"""
58,名片-更新-使用状态0-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""useStatus"" : 0 }",yes,"""result"":""success"""
59,名片-更新-使用状态1-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""useStatus"" : 1 }",yes,"""result"":""success"""
60,名片-更新-使用状态2-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""useStatus"" : 2 }",yes,"""result"":""success"""
61,名片-更新-使用状态3-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""useStatus"" : 3 }",yes,"""result"":""success"""
62,名片-更新-性别0-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""sex"" : 0 }",yes,"""result"":""success"""
63,名片-更新-性别1-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""sex"" : 1 }",yes,"""result"":""success"""
64,名片-更新-年龄50-成功,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""age"" : 50 }",yes,"""result"":""success"""
65,名片-更新-时间戳-失败,card/updateCard,http://172.28.6.111:8080/card/updateCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""title"" : ""zhujiansheng"",  ""subtitle"" : ""test-update"", ""version"" : 160 }",yes,"""result"":""success"""
66,名片-获取-成功,card/obtainCard,http://172.28.6.111:8080/card/obtainCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333763"",  ""version"" : 1000 }",yes,"""result"":""success"""
67,名片-获取-无效feedId-失败,card/obtainCard,http://172.28.6.111:8080/card/obtainCard,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_1111333763"",  ""version"" : 1000 }",yes,"""result"":""error"""
68,名片-获取配置字段-成功,card/obtainCardFieldConfig,http://172.28.6.111:8080/card/obtainCardFieldConfig,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,{},yes,"""result"":""success"""
69,名片-获取配置字段-时间戳-成功,card/obtainCardFieldConfig,http://172.28.6.111:8080/card/obtainCardFieldConfig,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""version"" : 1000 }",yes,"""result"":""success"""
70,名片-添加名片推荐-成功,card/addCardRecommendation,http://172.28.6.111:8080/card/addCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""recommendFeedId"" : ""c_336110+rnd"", ""recommendReason"" : ""Fun"", ""recommendStatus"" : 1, ""nickname"" : ""Jason""}",yes,"""result"":""success"""
71,名片-添加名片推荐-用户id-成功,card/addCardRecommendation,http://172.28.6.111:8080/card/addCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""userId"" : ""323964"", ""recommendFeedId"" : ""c_336110+rnd"", ""recommendReason"" : ""Fun"", ""recommendStatus"" : 1, ""nickname"" : ""Jason""}",yes,"""result"":""success"""
72,名片-添加名片推荐-推荐状态1-成功,card/addCardRecommendation,http://172.28.6.111:8080/card/addCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""userId"" : ""323964"", ""recommendFeedId"" : ""c_336110+rnd"", ""recommendReason"" : ""Fun"", ""recommendStatus"" : 1, ""nickname"" : ""Jason""}",yes,"""result"":""success"""
73,名片-添加名片推荐-推荐状态2-成功,card/addCardRecommendation,http://172.28.6.111:8080/card/addCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""userId"" : ""323964"", ""recommendFeedId"" : ""c_336110+rnd"", ""recommendReason"" : ""Fun"", ""recommendStatus"" : 2, ""nickname"" : ""Jason""}",yes,"""result"":""success"""
74,名片-添加名片推荐-推荐状态3-成功,card/addCardRecommendation,http://172.28.6.111:8080/card/addCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""userId"" : ""323964"", ""recommendFeedId"" : ""c_336110+rnd"", ""recommendReason"" : ""Fun"", ""recommendStatus"" : 3, ""nickname"" : ""Jason""}",yes,"""result"":""success"""
75,名片-添加名片推荐-时间戳-成功,card/addCardRecommendation,http://172.28.6.111:8080/card/addCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""userId"" : ""323964"", ""recommendFeedId"" : ""c_336110+rnd"", ""recommendReason"" : ""Fun"", ""recommendStatus"" : 2, ""nickname"" : ""Jason"", ""version"": 1000}",yes,"""result"":""success"""
76,名片-更新名片推荐-成功,card/updateCardRecommendation,http://172.28.6.111:8080/card/updateCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""recommendFeedId"" : ""c_336110"", ""recommendStatus"" : 1, ""nickname"" : ""APITest""}",yes,"""result"":""success"""
77,名片-更新名片推荐-用户id-成功,card/updateCardRecommendation,http://172.28.6.111:8080/card/updateCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"",  ""userId"" : ""324527"", ""recommendFeedId"" : ""c_336110"", ""recommendStatus"" : 1, ""nickname"" : ""APITest""}",yes,"""result"":""success"""
78,名片-更新名片推荐-无效名片id-失败,card/updateCardRecommendation,http://172.28.6.111:8080/card/updateCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""336109"", ""recommendFeedId"" : ""c_336110"", ""recommendStatus"" : 1, ""nickname"" : ""APITest""}",yes,"""result"":""error"""
79,名片-更新名片推荐-推荐原因-成功,card/updateCardRecommendation,http://172.28.6.111:8080/card/updateCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"", ""recommendFeedId"" : ""c_336110"", ""recommendReason"" : ""好朋友"", ""recommendStatus"" : 1, ""nickname"" : ""APITest""}",yes,"""result"":""success"""
80,名片-更新名片推荐-推荐状态1-成功,card/updateCardRecommendation,http://172.28.6.111:8080/card/updateCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"", ""recommendFeedId"" : ""c_336110"", ""recommendReason"" : ""好朋友"", ""recommendStatus"" : 1, ""nickname"" : ""APITest""}",yes,"""result"":""success"""
81,名片-更新名片推荐-推荐状态2-成功,card/updateCardRecommendation,http://172.28.6.111:8080/card/updateCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"", ""recommendFeedId"" : ""c_336110"", ""recommendReason"" : ""好朋友"", ""recommendStatus"" : 2, ""nickname"" : ""APITest""}",yes,"""result"":""success"""
82,名片-更新名片推荐-推荐状态3-成功,card/updateCardRecommendation,http://172.28.6.111:8080/card/updateCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"", ""recommendFeedId"" : ""c_336110"", ""recommendReason"" : ""好朋友"", ""recommendStatus"" : 3, ""nickname"" : ""APITest""}",yes,"""result"":""success"""
83,名片-更新名片推荐-时间戳-成功,card/updateCardRecommendation,http://172.28.6.111:8080/card/updateCardRecommendation,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_336109"", ""recommendFeedId"" : ""c_336110"", ""recommendReason"" : ""好朋友"", ""recommendStatus"" : 1, ""nickname"" : ""APITest"", ""version"" : 123456}",yes,"""result"":""success"""
84,名片－更新－位置坐标－成功,card/updateLocationCoordinate,http://172.28.6.111:8080/card/updateLocationCoordinate,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""latilongitude"" : ""39.995025,116.451512"", ""feedIds"" : ""c_336109,c_333763,c_333759""}",yes,"""result"":""success"""
85,名片－更新－空名片id－成功,card/updateLocationCoordinate,http://172.28.6.111:8080/card/updateLocationCoordinate,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""latilongitude"" : ""39.995025,116.451512"", ""feedIds"" : """"}",yes,"""result"":""success"""
86,名片－更新－空位置坐标－成功,card/updateLocationCoordinate,http://172.28.6.111:8080/card/updateLocationCoordinate,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""latilongitude"" : "","", ""feedIds"" : ""c_336109,c_333763,c_333759""}",yes,"""result"":""success"""
87,名片－二维码－成功,card/generateQRCode,http://172.28.6.111:8080/card/generateQRCode,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""width"" : ""180"", ""height"" : ""180"", ""feedId"" : ""c_336109""}",yes,"""result"":""success"""
88,名片－二维码宽高100－成功,card/generateQRCode,http://172.28.6.111:8080/card/generateQRCode,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""width"" : ""100"", ""height"" : ""100"", ""feedId"" : ""c_336109""}",yes,"""result"":""success"""
89,名片－二维码宽高0－成功,card/generateQRCode,http://172.28.6.111:8080/card/generateQRCode,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""width"" : ""0"", ""height"" : ""0"", ""feedId"" : ""c_336109""}",yes,"""result"":""success"""
90,名片－二维码－无效名片id－失败,card/generateQRCode,http://172.28.6.111:8080/card/generateQRCode,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""width"" : ""0"", ""height"" : ""0"", ""feedId"" : ""c_111111336109""}",yes,"""result"":""error"""
91,名片－获取-传播分类1－成功,card/obtainSpreadCategory,http://172.28.6.111:8080/card/obtainSpreadCategory,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""type"" : 1, ""version"" : ""0""}",yes,"""result"":""success"""
92,名片－获取-传播分类2－成功,card/obtainSpreadCategory,http://172.28.6.111:8080/card/obtainSpreadCategory,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""type"" : 2, ""version"" : ""0""}",yes,"""result"":""success"""
93,名片－获取-热门传播传播子类－成功,card/obtainRecommendSubCategoryList,http://172.28.6.111:8080/card/obtainRecommendSubCategoryList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""type"" : 1, ""version"" : ""0""}",yes,"""result"":""success"""
94,名片－获取-热门传播传播子类2－成功,card/obtainRecommendSubCategoryList,http://172.28.6.111:8080/card/obtainRecommendSubCategoryList,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""type"" : 2, ""version"" : ""0""}",yes,"""result"":""success"""
95,名片－获取名片交换模式－名片id－成功,card/obtainJoinMethod,http://172.28.6.111:8080/card/obtainJoinMethod,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333759""}",yes,"""result"":""success"""
96,名片－获取名片交换模式－无效名片id－失败,card/obtainJoinMethod,http://172.28.6.111:8080/card/obtainJoinMethod,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_11111333759""}",yes,"""result"":""error"""
97,名片－获取名片交换模式－昵称－成功,card/obtainJoinMethod,http://172.28.6.111:8080/card/obtainJoinMethod,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333759"", ""title"": ""test""}",yes,"""result"":""success"""
98,名片－获取名片交换模式－推广语－成功,card/obtainJoinMethod,http://172.28.6.111:8080/card/obtainJoinMethod,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333759"", ""subtitle"": ""test""}",yes,"""result"":""success"""
99,名片－获取名片交换模式－图片id－成功,card/obtainJoinMethod,http://172.28.6.111:8080/card/obtainJoinMethod,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333759"", ""avatarId"": ""test""}",yes,"""result"":""success"""
100,名片－获取名片交换模式－背景图－成功,card/obtainJoinMethod,http://172.28.6.111:8080/card/obtainJoinMethod,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333759"", ""backgroundId"": ""test""}",yes,"""result"":""success"""
101,名片－获取名片交换模式－交换方法－成功,card/obtainJoinMethod,http://172.28.6.111:8080/card/obtainJoinMethod,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333759"", ""joinMethod"": ""1""}",yes,"""result"":""success"""
102,名片－获取名片交换模式－名片号－成功,card/obtainJoinMethod,http://172.28.6.111:8080/card/obtainJoinMethod,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333759"", ""cardNumber"": ""122999""}",yes,"""result"":""success"""
103,名片－获取名片交换模式－扩展信息－成功,card/obtainJoinMethod,http://172.28.6.111:8080/card/obtainJoinMethod,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333759"", ""vCard"": ""test""}",yes,"""result"":""success"""
104,名片－获取名片交换模式－搜索状态－成功,card/obtainJoinMethod,http://172.28.6.111:8080/card/obtainJoinMethod,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333759"", ""searchStatus"": 1}",yes,"""result"":""success"""
105,名片－获取名片交换模式－搜索字段值－成功,card/obtainJoinMethod,http://172.28.6.111:8080/card/obtainJoinMethod,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333759"", ""searchFieldValue"": ""test""}",yes,"""result"":""success"""
106,名片－获取名片交换模式－传播子分类－成功,card/obtainJoinMethod,http://172.28.6.111:8080/card/obtainJoinMethod,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333759"", ""spreadSubCategorys"": ""test""}",yes,"""result"":""success"""
107,名片－获取名片交换模式－拥有者id－成功,card/obtainJoinMethod,http://172.28.6.111:8080/card/obtainJoinMethod,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333759"", ""ownByUserId"": 324527}",yes,"""result"":""success"""
108,名片－获取名片交换模式－使用者id－成功,card/obtainJoinMethod,http://172.28.6.111:8080/card/obtainJoinMethod,C79C6F66-A54B-4C5F-93D7-D3EA700DD120,iOS,8.4,3.0,13501007293,"{""feedId"" : ""c_333759"", ""useByUserId"": 324527}",yes,"""result"":""success"""
